Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974/12/31,47217,1939 (2015)
HRL,Hormel,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009/3/4,48465,1891
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2015/3/17,1000228,1932
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007/3/20,1070750,1993
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957/3/4,47111,1894
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1964/3/31,4281,2016
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957/3/4,51143,1911
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007/9/26,1571949,2000
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017/1/5,874716,1983
IEX,IDEX,Industrials,Industrial Machinery,"Lake Forest, Illinois",2019/8/9,832101,1988
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976/3/31,51253,1958 (1889)
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",2015/11/19,1110803,1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017/2/28,879169,1991
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976/12/31,50863,1968
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000/12/5,896878,1983
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",1957/3/4,51434,1898
IPG,Interpublic Group,Communication Services,Advertising,"New York City, New York",1992/10/1,51644,1961 (1930)
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018/3/7,1111928,1990
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017/8/29,1478242,1982
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Davidson, North Carolina",2020/3/3,1699150,1859
IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",2009/1/6,1020569,1951
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008/6/2,1035267,1995
